procedure_area,property_type_id,property_sub_type_id,area_id,property_total_value,row_status,property_category,Year,Month
1885.93,1,63.0,300.0,3500000.0,1,2,2012,12
92877.68,1,65.0,308.0,94974065.0,1,1,2012,7
286.14,1,63.0,233.0,1232000.0,1,2,2012,7
111.42,3,42.0,350.0,599655.0,1,3,2012,7
164.55,3,42.0,350.0,850176.0,1,3,2012,7
117.76,3,42.0,350.0,633780.0,1,3,2012,7
163.74,3,42.0,350.0,898865.0,1,3,2012,7
156.93,3,42.0,350.0,844590.0,1,3,2012,7
255.03,2,4.0,352.0,1350000.0,1,2,2012,7
111.96,3,42.0,350.0,602655.0,1,3,2012,7
3697.54,1,65.0,376.0,8756000.0,1,1,2012,7
104906.81,1,63.0,466.0,107251390.0,1,2,2012,7
246.1,3,60.0,526.0,2500000.0,1,2,2012,1
1436.37,1,63.0,276.0,6957450.0,1,2,2012,1
81.75,3,60.0,330.0,800000.0,1,2,2012,2
7202.96,1,63.0,303.0,40700000.0,1,2,2012,9
3195.86,1,63.0,314.0,14000000.0,1,2,2012,9
689.15,1,63.0,244.0,6676200.0,1,2,2012,8
67.0,3,23.0,343.0,330000.0,1,1,2012,8
1678.25,1,63.0,232.0,5058200.0,1,2,2012,8
3047.22,1,63.0,303.0,16400000.0,1,2,2012,12
1393.55,1,63.0,316.0,2400000.0,1,2,2012,12
67.0,3,23.0,343.0,654143.0,1,1,2012,3
38.0,3,23.0,343.0,439817.0,1,1,2012,3
66.0,3,23.0,343.0,649308.0,1,1,2012,3
43.0,3,23.0,343.0,472803.0,1,1,2012,3
255.02,2,4.0,352.0,1800000.0,1,2,2012,3
25559.01,1,63.0,320.0,265000000.0,1,2,2012,3
713.31,1,63.0,362.0,22000000.0,1,2,2012,3
148.64,1,63.0,233.0,800000.0,1,2,2012,3
79545.04,1,64.0,497.0,17124320.0,1,3,2012,3
650.32,1,63.0,382.0,1300000.0,1,2,2012,5
63.07,3,60.0,330.0,550000.0,1,2,2012,8
72.33,3,60.0,330.0,600000.0,1,2,2012,8
71.91,3,60.0,330.0,600000.0,1,2,2012,8
1260.04,1,65.0,435.0,1356300.0,1,1,2012,12
99.5,3,60.0,330.0,1000000.0,1,2,2012,4
98.85,3,60.0,441.0,1000000.0,1,2,2012,4
130.53,1,63.0,247.0,562000.0,1,2,2012,4
501.68,1,63.0,300.0,1200000.0,1,2,2012,4
1241.56,1,63.0,316.0,2800000.0,1,2,2012,4
3716.12,1,65.0,376.0,9500000.0,1,1,2012,4
594.58,1,63.0,364.0,1900000.0,1,2,2012,4
617.62,1,63.0,304.0,9000000.0,1,2,2012,4
121.45,3,60.0,443.0,1000000.0,1,2,2012,4
232.26,1,63.0,266.0,1700000.0,1,2,2012,4
3251.61,1,65.0,308.0,7700000.0,1,1,2012,4
898.37,3,42.0,526.0,5316553.0,1,3,2012,4
919.12,3,42.0,526.0,5439352.0,1,3,2012,4
1646.33,1,65.0,321.0,3898620.0,1,1,2012,4
1852.67,1,65.0,247.0,5600000.0,1,1,2012,4
383.6,1,63.0,300.0,1200000.0,1,2,2012,4
2182003.94,1,63.0,451.0,336202080.0,1,2,2012,3
232.26,1,63.0,276.0,1250000.0,1,2,2012,8
3716.12,1,63.0,374.0,20000000.0,1,2,2012,9
1858.06,1,63.0,317.0,12000000.0,1,2,2012,9
3086.52,1,63.0,370.0,28239550.0,1,2,2012,10
9450.19,1,38.0,330.0,111893100.0,1,2,2012,5
39.48,3,60.0,351.0,400000.0,1,2,2012,5
1393.55,1,63.0,232.0,3900000.0,1,2,2012,5
4678.6,1,63.0,317.0,40288000.0,1,2,2012,5
52800.49,1,65.0,378.0,74014200.0,1,1,2012,5
1813.65,1,63.0,234.0,32000000.0,1,2,2012,5
90.02,3,60.0,390.0,800000.0,1,2,2012,5
117.84,3,60.0,330.0,1189000.0,1,2,2012,5
136.94,3,60.0,330.0,1395000.0,1,2,2012,5
37427.83,1,63.0,309.0,85000000.0,1,2,2012,5
1021.93,1,63.0,234.0,1650000.0,1,2,2012,5
159.79,1,63.0,362.0,2236000.0,1,2,2012,5
631.74,1,63.0,382.0,1100000.0,1,2,2012,5
211.78,3,60.0,350.0,1500000.0,1,2,2012,5
6884.11,1,65.0,308.0,13338000.0,1,1,2012,5
1611.87,1,63.0,264.0,4000000.0,1,2,2012,5
2773.15,1,63.0,336.0,5373000.0,1,2,2012,4
1474.73,1,63.0,368.0,15874000.0,1,2,2012,5
929.03,1,63.0,232.0,2800000.0,1,2,2012,5
5574.27,1,63.0,318.0,24000400.0,1,2,2012,6
594.58,1,63.0,304.0,9500000.0,1,2,2012,6
8069.0,1,38.0,330.0,112910200.0,1,2,2012,6
107.6,3,42.0,526.0,820000.0,1,3,2012,6
233.0,1,63.0,276.0,1800000.0,1,2,2012,6
3723.89,1,63.0,464.0,8016600.0,1,2,2012,6
2085.21,1,63.0,434.0,4489000.0,1,2,2012,6
6568.43,1,63.0,317.0,80000000.0,1,2,2012,2
2787.71,1,28.0,462.0,2700618.0,1,3,2012,2
185.66,3,60.0,330.0,1638360.0,1,2,2012,2
223.21,3,60.0,330.0,2066580.0,1,2,2012,2
2165.57,1,63.0,317.0,21000000.0,1,2,2012,3
205.04,3,60.0,526.0,1600000.0,1,2,2012,4
232.26,1,63.0,233.0,625000.0,1,2,2012,8
1494.36,1,63.0,409.0,4825500.0,1,2,2012,11
130.82,3,60.0,351.0,1100000.0,1,2,2012,7
74.6,3,60.0,526.0,600000.0,1,2,2012,7
130.06,3,42.0,526.0,1050000.0,1,3,2012,7
341.55,2,4.0,352.0,1500000.0,1,2,2012,7
929.03,1,63.0,318.0,4500000.0,1,2,2012,7
133.87,3,60.0,526.0,1100000.0,1,2,2012,7
117.06,3,42.0,350.0,579609.0,1,3,2012,7
117.75,3,42.0,350.0,633725.0,1,3,2012,7
117.76,3,42.0,350.0,633780.0,1,3,2012,7
157.14,3,42.0,350.0,845720.0,1,3,2012,7
110.96,3,42.0,350.0,609123.6,1,3,2012,7
362.79,3,42.0,526.0,3100000.0,1,3,2012,7
111.42,3,42.0,350.0,599655.0,1,3,2012,7
157.51,3,42.0,350.0,847710.0,1,3,2012,7
1345.89,1,63.0,297.0,3766620.0,1,2,2012,7
133.69,3,60.0,444.0,650000.0,1,2,2012,8
127.51,3,60.0,330.0,1180000.0,1,2,2012,8
169.83,3,60.0,330.0,1500000.0,1,2,2012,8
147.0,3,60.0,330.0,1400000.0,1,2,2012,8
4749.86,1,23.0,240.0,17894450.0,1,1,2012,8
200521.93,1,65.0,455.0,408710475.0,1,1,2012,8
222.69,1,63.0,233.0,1000000.0,1,2,2012,8
5248.46,1,63.0,409.0,16948200.0,1,2,2012,8
257.17,2,4.0,352.0,1200000.0,1,2,2012,8
